song,artist,release_year,composed,genre,appearances,also_performed_by,rating
We'll Sweep out the Ashes in the Morning,Gram Parsons,1973,Joyce Ann Allsup,Pop/Rock,7,0,5
Goldfinger,John Barry,1964,John Barry,Stage,7,75,4.333333333
What Sound,Lamb,2001,Andrew Barlow,Atmospheric,1,0,4.5
Georgia on a Fast Train,Billy Joe Shaver,1993,Billy Joe Shaver,Country,6,14,3.633333333
Gong Gong,Shelley Duvall,1991,Robert Irving,None,1,0,4.5
gonk steady one,Autechre,2018,Ronald Bronstein,None,2,0,4.5
gonk tuf hi,Autechre,2018,Ronald Bronstein,None,2,0,4.5
Gonna Write Me a Letter,Rhiannon Giddens,2019,Ola Belle Reed,None,1,1,4
The Legend of Bonnie and Clyde,Merle Haggard,1991,Merle Haggard,Country,44,7,2.8
East Virginia Blues,Ramblin' Jack Elliott,1957,A.P. Carter,Folk,6,15,2.2
Hark! The Herald Angels Sing,London Symphony Orchestra / Vienna Boys' Choir,1930,Felix Mendelssohn,Classical,8,5,1.5
Good for Me,Amy Grant,1991,Amy Grant,Pop/Rock,14,1,4.166666667
Good Garbage,Tom Chapin,1990,Tom Chapin,None,3,0,3
Good Girl,Carrie Underwood,2012,Chris DeStefano,None,4,5,3.833333333
Good Good Father,Chris Tomlin,2016,Pat Barrett,None,33,18,None
Galveston,Glen Campbell,1969,Jimmy Webb,Country,77,35,3.42244898
Pancho and Lefty,Townes Van Zandt,1972,Townes Van Zandt,Country,18,35,3.4875
Good King Joy,Trans-Siberian Orchestra,2004,Robert Kinkel,None,3,0,2.75
Good King Wenceslas,Bing Crosby,1958,Felix Bernard,None,60,0,4.5
What the Hell Is This?,"Johnny ""Guitar"" Watson",1979,"Johnny ""Guitar"" Watson",R&B,9,0,5
Star Wars~Main Theme,Boston Pops Orchestra / John Williams,1980,John Williams,Stage,1,14,4
Chances Are,Johnny Mathis,1957,Robert Allen,Vocal,62,34,3.320512821
Good Little Bad Little You,"Cliff ""Ukelele Ike"" Edwards",2008,Edgar Leslie,None,4,0,None
"Good Little, Bad Little You","Cliff ""Ukelele Ike"" Edwards",1944,Bud Green,None,5,4,3.875
The Marvelous Toy,Tom Paxton,1962,Tom Paxton,Pop/Rock,10,14,4
Midnight Cowboy,John Barry,Unknown,John Barry,Easy,13,34,3.357142857
Good Morning Heartache,Ron Carter / Houston Person,1990,Ervin Drake,None,4,178,3.666666667
"Good Morning, Miss Carrie",Bill Morrissey,1999,Bill Morrissey,None,1,0,3
"Good Night, Dear Lord",Johnny Mathis,2012,Leonard Bernstein,None,24,0,3.5
"Good Night, Sweet Nightingale",Jackie Gleason,1956,Sammy Gallop,None,2,0,3.25
"Good Night, Sweet Nightingale",Jackie Gleason,1956,Sammy Gallop,None,2,0,3.25
Good Ol' Girls,John McCutcheon,2006,John McCutcheon,None,1,0,3.5
Good Ol' Girls,John McCutcheon,2006,John McCutcheon,None,1,0,3.5
Good Rockin' Tonight,Jimmy Witherspoon,1959,Roy Brown,Jazz,6,81,4.1
The Legend of Bonnie and Clyde,Merle Haggard,1991,Merle Haggard,Country,44,7,2.8
Whatchamacallit,Esquivel,1994,Joyce Esquivel,Easy,1,0,5
Good Time,Oneohtrix Point Never,2017,Ronald Bronstein,None,1,0,4
Who Showed You the Way to My Heart,Tish Hinojosa,1989,Tish Hinojosa,Pop/Rock,2,0,4.5
Winds of Change (Main Title),Ray Conniff,2004,Mack David,Easy,1,0,5
Two Doors Down,Dolly Parton,1977,Dolly Parton,Country,19,14,3.530769231
Yamfa,Toumani Diabaté / Ballaké Sissoko,1999,Toumani Diabaté,International,2,0,4.5
Goodnight,Jackie Mason,2003,Jackie Mason,None,4,0,None
Goodnight,Laurie Berkner,1999,Laurie Berkner,None,3,4,4
Two Steps From the Blues,"Bobby ""Blue"" Bland",1961,John Riley Brown,Blues,12,14,3.954545455
"Green, Green",The New Christy Minstrels,1963,Barry McGuire,Folk,20,15,2.184210526
Goodnight My Love,Shirley Temple,1994,Sidney Mitchell,None,4,0,3.25
Googleheads,Laurie Berkner,1999,Laurie Berkner,None,3,2,4
Goomba Boomba,Yma Sumac,2006,Margarita Lecuona,Jazz,4,0,None
The Other Woman (In My Life),Ray Price,1965,Don Rollins,Country,9,7,2.9875
No More Tears (Enough Is Enough),Barbra Streisand / Donna Summer,1979,Paul Jabara,Electronic,16,15,2.4
Universal Soldier,Buffy Sainte-Marie,1964,Buffy Sainte-Marie,Pop/Rock,18,14,4
Got My Mojo Working,Pinetop Perkins,1996,Willie Dixon,Blues,3,1,None
Got My Mojo Working,"Clarence ""Gatemouth"" Brown",1989,Preston Foster,Cool,3,77,3.166666667
Got to Move On,Fennesz,2001,None,None,1,0,5
"Gott ist unsere Zuversicht, Cantata, BWV 197~8. Aria. Vergnügen und Lust",Kathleen Battle / John Nelson / Orchestra of St. Luke's / Itzhak Perlman,2018,Johann Sebastian Bach,None,1,0,None
Gotta Get to Your House,David Seville,1957,Eugene Autry,None,1,0,None
Gotta Smile,Nightmares on Wax,2018,Chris Dawkins,None,1,0,3.5
Gracias a la Vida (Here's to Life),Tish Hinojosa,1997,Violeta Parra,None,1,2,3
You've Never Been This Far Before,Conway Twitty,1973,Conway Twitty,Country,80,7,2.657142857
Grady Forester's Store and Cotton Gin,Norman Blake,2015,Norman Blake,None,1,0,4
Gran Bwa Ile,Boukman Eksperyans,1998,None,None,2,0,2.5
Gran Bwa Ile (A Vodou Spirit),Boukman Eksperyans,1998,"Mimerose ""Manze"" Beaubrun",None,1,0,2.5
Gran Bwa Karnival,Boukman Eksperyans,1998,None,None,2,0,2.5
Granada,Esquivel,1958,Agustín Lara,None,5,225,3.5
I Ain't Marching Anymore,Phil Ochs,1975,Phil Ochs,Folk,13,7,2.65
Living in the Country,Pete Seeger,1962,Pete Seeger,Happy,3,14,2.25
Boa Constrictor,Shel Silverstein,1962,Shel Silverstein,Comedy/Spoken,3,5,1.9
Over the Hill,John Martyn,1973,John Martyn,Folk,23,5,1.65
"Granada, for voice & orchestra (with chorus ad lib)",Plácido Domingo,2006,Jean Pierre Claris de Florian,None,1,0,3.5
"Granada, for voice & orchestra (with chorus ad lib)",Plácido Domingo,2006,None,None,1,0,3.5
Grand Choral,,2021,Igor Stravinsky,None,1,1,None
Since You've Asked,Judy Collins,1981,Judy Collins,Folk,7,14,2.3
Bayou Pon Pon,Michael Doucet,1989,Traditional,International,2,13,3.75
Grandma,Marlo Thomas & Friends,1972,Carole Hart,None,1,2,5
Midnight Cowboy,John Barry,Unknown,John Barry,Easy,13,34,3.357142857
Grandpa's Spells,Canadian Brass,1984,Jelly Roll Morton,None,3,35,2.833333333
Grandpa's Spells,Canadian Brass,1984,Jelly Roll Morton,None,3,35,2.833333333
Grandpa's Spells,Canadian Brass,1984,Jelly Roll Morton,None,3,35,2.833333333
Granted,Josh Groban,2018,Toby Gad,None,2,0,4
Gratitude,Red Grammer,2013,Red Grammer,None,1,0,None
Grazin' in the Grass,Hugh Masekela,1994,Philemon Hou,None,2,3,3.25
Born to Run,Emmylou Harris,1981,Paul Kennerley,Country,11,13,3.522222222
Great Big Stars,Rachel Buchman,1993,Traditional,None,1,0,4
Great Heart,Johnny Clegg,1997,None,International,1,0,None
Greek Shepherd Song,Ella Jenkins,1992,Traditional,None,1,0,3
Green (Vincent's Tune),Yo-Yo Ma / Silkroad Ensemble,2016,Wu Man,None,1,0,4.5
Green Behind the Ears,Patty Larkin,2013,Ryan Kay,None,1,0,3.5
New York Town,Ramblin' Jack Elliott,1989,Woody Guthrie,Folk,2,7,2.75
Green Grow the Lilacs,Joe Harnell,2007,Ron Miller,None,1,1,4
Since You've Asked,Judy Collins,1981,Judy Collins,Folk,7,14,2.3
"Green, Green Grass of Home",Burl Ives,1990,Hank Cochran,None,15,0,4
"Green, Green Rocky Road",Dave Van Ronk,2002,Len Chandler,None,1,0,3
Reverend Mr. Black,The Kingston Trio,1963,Jerry Leiber,Folk,21,5,1.75
"Greenfields (from ""The Philharmonia"")",Boston Camerata / Joel Cohen,1996,Claudio Monteverdi,None,1,0,2.5
Bim Bom,Astrud Gilberto,1965,João Gilberto,International,9,33,3.416666667
"Romeo and Juliet, film score~Love Theme",Boston Pops Orchestra / Arthur Fiedler,1944,Nino Rota,Classical,1,7,2.7
Universal Soldier,Donovan,1965,Buffy Sainte-Marie,Folk,43,14,2.096774194
Grief and Repetition,Oneohtrix Point Never,2009,Daniel Lopatin,None,2,0,3.75
Grim Grinning Ghosts,Disney,1991,Xavier Atencio,Brooding,4,10,4
Early Mornin' Rain,"Peter, Paul and Mary",1965,Gordon Lightfoot,Laid-Back/Mellow,6,13,4
Early Mornin' Rain,"Peter, Paul and Mary",1965,Gordon Lightfoot,Laid-Back/Mellow,6,13,4
Grizzly Bear,Bill Morrissey,1984,Bill Morrissey,None,1,0,3.5
Groaning the Blues,Otis Rush,1968,Willie Dixon,Blues,13,2,4.423076923
Groove Master,Arrow,1988,Arrow,Brooding,2,0,3.5
Growing,Fred Penner,2001,Norman Foote,None,3,0,2
Grown Up To Be a Man,Pinetop Perkins,2010,K. Dwayne Smith,None,1,0,3.5
Grown-Up Christmas List,Amy Grant,2000,David Foster,None,42,24,3.25
"Gruber: Silent Night, Holy Night",Stephen Cleobury / King's College Choir of Cambridge,2020,Franz Gruber,None,4,1,None
"Gruber: Silent Night, Holy Night",Stephen Cleobury / King's College Choir of Cambridge,2020,Franz Gruber,None,4,1,None
Gruber: Stille Nacht,Schubert-Akademie / Vienna Boys' Choir / Rolando Villazón / Gerald Wirth,2019,Franz Gruber,None,9,1,None
Gruber: Stille Nacht,Schubert-Akademie / Vienna Boys' Choir / Rolando Villazón / Gerald Wirth,2019,Franz Gruber,None,9,1,None
"Romeo and Juliet, film score~Love Theme",Boston Pops Orchestra / Arthur Fiedler,1944,Nino Rota,Classical,1,7,2.7
Guadalajara,The New Christy Minstrels,1964,Traditional,None,2,0,3.5
Early Mornin' Rain,"Peter, Paul and Mary",1965,Gordon Lightfoot,Laid-Back/Mellow,6,13,4
Guardian Angel,The Judds,1989,John Jarvis,Country,2,0,4.05
What Now My Love,Herb Alpert & the Tijuana Brass,1966,Gilbert Bécaud,Easy,1,33,3.5
Guido E Luisa: Nostalgico Swing,Nino Rota,1962,Nino Rota,None,2,0,4
Yibo Labafana,Ladysmith Black Mambazo,1998,Joseph Shabalala,Pop/Rock,2,0,4.7
Guitar Blues,Lonnie Johnson,Unknown,Lonnie Johnson,Blues,6,5,4.083333333
Guitar In My Hand,"Clarence ""Gatemouth"" Brown",1984,Roy Milton,None,8,0,4.5
Embryonic Journey,Leo Kottke,1979,Jorma Kaukonen,Happy,3,13,2.5
You Were Mine,The Chicks,1998,Emily Erwin,Country,1,0,4.8
Gujri Todi,Hariprasad Chaurasia,2003,None,None,2,0,3
Guru Bandana,Asha Bhosle / Ali Akbar Khan,1999,None,None,2,0,None
Guru Bandana (Prayer),Asha Bhosle / Ali Akbar Khan,1996,Ali Akbar Khan,None,2,0,3.5
"Gut Yontef Aych, Kinder",Rachel Buchman,2000,Rachel Buchman,None,1,0,3
Amazing Grace,Canadian Brass,1987,John Newton,Happy,5,4,1.5
Ha Ha This-a-Way,"Sharon, Lois & Bram",1995,Traditional,None,4,0,4
Haïnamady Town,Toumani Diabaté / London Symphony Orchestra,2021,Toumani Diabaté,None,1,0,None
Haïnamady Town,Toumani Diabaté / London Symphony Orchestra,2021,Toumani Diabaté,None,1,0,None
Had a Dream (For the Heart),The Judds,1983,Dennis Linde,Country,4,1,4.133333333
"Tzena, Tzena, Tzena",The Weavers,1957,Julius Grossman,Folk,13,7,2.555555556
Half a Crown,Chad Mitchell,1966,Bobby Scott,None,2,2,3.5
What Did You Learn in School Today?,Tom Paxton,1964,Tom Paxton,Folk,5,7,2.7
What Did You Learn in School Today?,Tom Paxton,1964,Tom Paxton,Folk,5,7,2.7
Halla,Värttinä,1996,Kari Reiman,Folk,1,0,3.5
Hallelujah,John Legend / Carrie Underwood,2020,Toby Gad,None,22,0,None
7 Seconds,Neneh Cherry / Youssou N'Dour,1994,Neneh Cherry,International,25,6,2.7
Boogie Chillun,John Lee Hooker,1960,John Lee Hooker,Blues,33,6,2.972222222
Carolyn,Merle Haggard,1968,Tommy Collins,Country,60,6,2.542857143
Hallelujah Chorus,Eugene Ormandy / Philadelphia Orchestra,1997,George Frederick Handel,None,1,53,2.5
Embryonic Journey,Leo Kottke,1979,Jorma Kaukonen,Happy,3,13,2.5
Carolyn,Merle Haggard,1968,Tommy Collins,Country,60,6,2.542857143
Halloween,John Carpenter,2016,John Carpenter,None,2,6,3.75
Halloween Kills (Main Title),Cody Carpenter / John Carpenter / Daniel Davies,2021,Cody Carpenter,None,1,0,4
Halloween Theme,John Carpenter,1981,John Carpenter,Brooding,4,5,3.666666667
Hunter,Björk,1998,Björk,Electronic,9,6,2.685714286
Halloween Triumphant,John Carpenter,2018,Cody Carpenter,None,1,0,4
Hamady Boiro,Baaba Maal,1992,Baaba Maal,None,5,0,4.25
Hamsanãdam-Rãgam and Tãnam,L. Subramaniam / Viji Subramaniam,1995,L. Subramaniam,None,1,0,3
Hand It to You,Steve Goodman,1979,Steve Goodman,None,2,0,4.25
Hand Me Down My Walking Cane,Norman Blake,1976,M. Christian,None,1,0,5
Handsome Molly,Bill Morrissey,1989,Bill Morrissey,Laid-Back/Mellow,3,1,4.333333333
HaNeyrot Halalu Anu Madlikin,Rachel Buchman,2000,Traditional,None,1,0,3
"Hang Me, Oh Hang Me",Dave Van Ronk,1962,Traditional,None,6,6,4.666666667
Buffalo Skinners,Woody Guthrie / Cisco Houston,1995,Woody Guthrie,Folk,1,5,1
Happiness,Hariprasad Chaurasia,2011,Kedar Pandit,None,3,0,None
Happy,Kidz Bop Kids,2014,Pharrell Williams,None,13,40,3
Happy Adoption Day,John McCutcheon,1993,John McCutcheon,None,3,0,3.666666667
Happy Adoption Day,John McCutcheon,1993,John McCutcheon,None,3,0,3.666666667
Early Mornin' Rain,Gordon Lightfoot,1966,Gordon Lightfoot,Pop/Rock,12,13,4
Happy Cycling,Boards of Canada,1999,Marcus Eoin,Electronic,1,0,None
Zibuyile Nonyaka,Mahotella Queens,1986,None,International,2,0,4.5
Happy Earth Day,Tom Chapin,1992,Tom Chapin,None,2,0,4.5
Cowboy's Lament,Burl Ives,1955,Traditional,Folk,15,4,1.857142857
"Shame, Shame, Shame",Jimmy Reed,1963,Jimmy Reed,Blues,45,33,3.375
The Wreck of the Edmund Fitzgerald,Gordon Lightfoot,1976,Gordon Lightfoot,Folk,9,13,2.375
Kansas City Star,Roger Miller,1965,Roger Miller,Country,37,6,2.761538462
Hard Day on the Planet,Loudon Wainwright III,1986,None,Pop/Rock,4,0,4.333333333
Atlantis,Donovan,1969,Donovan,Pop/Rock,14,1,5
One More Last Chance,Vince Gill,1992,Vince Gill,Country,13,6,2.942857143
Roll on Mississippi,Charley Pride,1981,Kye Fleming,Country,17,6,2.915384615
Fast as You,Dwight Yoakam,1993,Dwight Yoakam,Country,10,13,3.744444444
Hard Times Come Again No More,The Chieftains,2012,Traditional,None,2,5,3
Hyperballad,Björk,1995,Björk,Pop/Rock,14,13,4
Baby Please Don't Go,Tom Rush,1996,Traditional,Folk,2,12,2.25
Annabelle,Gillian Welch,1996,Gillian Welch,Folk,2,12,2.5
Lonesome Traveler,The Weavers,1957,Lee Hays,Folk,7,12,2.285714286
Violets of Dawn,Eric Andersen,1966,Eric Andersen,Folk,18,12,2.461538462
"Fine knacks for ladies, for 4 voices & lute (Second Book of Songs)",King's Singers,1927,John Dowland,Classical,2,4,1.6
Blackleg Miner,Steeleye Span,1970,Traditional,Folk,7,11,2.083333333
Lungs,Townes Van Zandt,1969,Townes Van Zandt,Country,7,13,3.55
Hark! The Herald Angels Sing,Herbert von Karajan / Leontyne Price,1961,Felix Mendelssohn,None,2,529,None
My Dixie Darling,The Carter Family,1991,A.P. Carter,Country,14,13,3.723076923
"Fine knacks for ladies, for 4 voices & lute (Second Book of Songs)",King's Singers,1927,John Dowland,Classical,2,4,1.2
Close the Door Lightly When You Go,Eric Andersen,1967,Eric Andersen,Folk,9,11,2.25
Head and Heart,John Martyn,1971,John Martyn,Folk,19,4,1.846153846
"Hark, I Hear The Harps Eternal (Invitation)",Anonymous 4,2004,William Walker,None,1,1,4.5
"Hark, I Hear The Harps Eternal (Invitation)",Anonymous 4,2004,William Walker,None,1,1,4.5
The Dance,Garth Brooks,1989,Tony Arata,Country,7,33,3.371428571
Harlem Nocturne,Esquivel,1994,Earle H. Hagen,Easy,6,234,4.375
Harness up the Day,John McCutcheon,2006,Woody Guthrie,None,2,0,3.5
Harness up the Day,John McCutcheon,2006,Woody Guthrie,None,2,0,3.5
Harrison Ford,Christine Lavin,2000,Christine Lavin,Humorous,1,0,None
"Harry Potter and the Philosopher's (Sorcerer's) Stone, film score~Harry's Wonderous World",Erich Kunzel,1946,Vince Guaraldi,Classical,1,0,None
"In dulci jubilo, chorale setting for 4 voices, BWV 368 (BC F110)",King's College Choir of Cambridge / David Willcocks,1935,Johann Sebastian Bach,Classical,2,6,2.6
Jesus Christ,Woody Guthrie,1977,Woody Guthrie,Folk,15,11,2.083333333
Mellow Yellow,Donovan,1966,Donovan,Folk,28,11,2.095238095
Hart Brake Motel,Homer & Jethro,1957,Milt Kabak,None,4,0,4.5
Harvest Hymn,Boston Camerata / Joel Cohen,1996,Claudio Monteverdi,None,1,0,2.5
Hasta Siempre,Jon Christensen / Palle Danielsson / Jan Garbarek / Bobo Stenson / Bobo Stenson Quartet,1974,Carlos Puebla,None,2,29,3.75
Hate This Pain,Tricky,2020,Adrian Thaws,None,1,0,3.5
Hatikvah,Marvin Hamlisch / Kenny Karen / Kenny Karen,2008,Traditional,None,1,16,3.5
Hatisitose,The Bhundu Boys,1986,None,None,2,0,5
Coat of Many Colors,Dolly Parton,1968,Dolly Parton,Country,61,32,3.289361702
The Coo-Coo Bird,Clarence Ashley / Doc Watson,1963,Traditional,International,4,13,3.625
Have a Nice Day,George Carlin,1981,Jaz Coleman,None,1,1,4
Booty Ooty,"Johnny ""Guitar"" Watson",1980,"Johnny ""Guitar"" Watson",R&B,9,1,4.583333333
Little Sister,Dwight Yoakam,1986,Doc Pomus,Country,12,32,3.436363636
You Ain't Woman Enough (To Take My Man),Loretta Lynn,1966,Loretta Lynn,Country,25,13,3.925
Brazil,Ray Conniff,1960,Ary Barroso,Easy,8,12,4
Don't Be Cruel,The Judds,1987,Otis Blackwell,Country,3,31,3.3
32-20 Blues,Robert Johnson,1936,Robert Johnson,Blues,32,30,3.425
Amanda,Waylon Jennings,1979,Bob McDill,Country,34,30,3.254545455
Is There Anybody Here?,Phil Ochs,1966,Phil Ochs,Folk,4,6,2.875
Have Yourself a Good Time for Me,Jonathan Edwards,1973,Eric Lilljequist,None,2,1,2.5
Drinking Champagne,George Strait,1990,Bill Mack,Country,16,12,3.883333333
Have Yourself a Merry Little Christmas,Plácido Domingo,1999,Ralph Blane,None,2,1295,3
Have Yourself a Merry Little Christmas,Carrie Underwood,2020,Ralph Blane,None,9,1295,3
Have Yourself a Merry Little Christmas,Plácido Domingo,1999,Ralph Blane,None,2,1295,3
Hayo Haya Melech Rasha,Rachel Buchman,2000,Rachel Buchman,None,1,0,3
Power and the Glory,Phil Ochs,1964,Phil Ochs,Folk,9,6,2.625
Saturday Night,The New Christy Minstrels,1963,Randy Sparks,Folk,9,6,2.888888889
He Needs Me,Shelley Duvall,1981,Harry Nilsson,None,1,2,4
He Shall Reign Forevermore,Chris Tomlin,2015,Matt Maher,None,13,0,None
Day is Done,"Peter, Paul and Mary",1969,Peter Yarrow,Sentimental,6,1,4.5
He Was a Dandy,Shirley Temple,1996,Ted Koehler,None,4,1,3.833333333
First Time I Met the Blues,Buddy Guy,1971,Eurreal Montgomery,Blues,57,12,3.518518519
He Will See You Through,Rhiannon Giddens,2019,Rhiannon Giddens,None,1,0,4
Thirsty Boots,Eric Andersen,1966,Eric Andersen,Folk,16,11,2.428571429
Headin' on Down to the Barn,Red Grammer,1987,Red Grammer,None,1,0,3
Heading for Texas,Riders in the Sky,2004,Ranger Doug Green,None,1,0,3.5
Heading on Down to the Barn,Red Grammer,1987,Red Grammer,None,1,0,3
Too Much of Nothing,"Peter, Paul and Mary",1967,Bob Dylan,Folk,6,11,2.4
Spastik,Plastikman,1993,Richie Hawtin,Electronic,10,6,2.955555556
"Amarcord, film score~Excerpt",Federico Fellini / Nino Rota,1947,Nino Rota,Classical,1,2,1.2
"Now is the month of maying, madrigal for 5 voices",King's Singers,1927,Thomas Morley,Classical,3,2,1.2
Heart and Soul,Yo-Yo Ma / Silkroad Ensemble,2016,Hoagy Carmichael,None,1,98,4.5
The Frozen Logger,The Weavers,1963,James Stevens,Folk,7,4,1.916666667
Heart like a wheel,Kate & Anna McGarrigle,2008,Anna McGarrigle,None,2,0,None
"Star Wars, Episode I: The Phantom Menace, film score~Duel of the Fates",John Williams,1941,John Williams,Classical,2,6,2.7
Heart Still/Beating,Ottmar Liebert,1990,Ottmar Liebert,International,8,2,4.166666667
Heartache,Jamey Johnson,2009,Jamey Johnson,None,3,1,5
Can't Get Used to Losing You,Andy Williams,1963,Doc Pomus,Laid-Back/Mellow,54,30,3.2
Heartbeat,Fred Penner,2003,Fred Penner,None,2,0,3.5
Stones in My Passway,Robert Johnson,1936,Robert Johnson,Blues,29,30,3.264705882
Honey Come Back,Glen Campbell,1970,Jimmy Webb,Country,31,12,3.625
Debe,Toumani Diabaté / Ali Farka Touré,2005,Traditional,International,1,1,4.5
Hearts Overflowing,Jonathan Edwards,1976,Mike Brewer,None,1,1,2
"Star Wars, Episode I: The Phantom Menace, film score~Duel of the Fates",John Williams,1941,John Williams,Classical,2,6,2.7
I'm a Steady Rollin' Man,Robert Johnson,1936,Robert Johnson,Blues,32,12,3.533333333
Heaven And Mud,Loudon Wainwright III,1978,Loudon Wainwright III,None,3,0,3.333333333
Heavenly Sunlight,Norman Blake / Rich O'Brien,1999,Norman Blake,None,1,0,4
Heavy Metal x DVNO,Justice,2018,Gaspard Augé,None,1,0,3.5
Get Out of My Life Now,Paul Oakenfold / Planet Perfecto,2001,Andy Gray,Electronic,1,1,1.4
Helena Polka,Myron Floren / Jimmy Sturr,1998,Myron Floren,None,3,5,2.5
Helen's Theme,Philip Glass,2001,Philip Glass,None,2,0,3
Helikopter,Plastikman,1993,Richie Hawtin,Electronic,3,0,3.233333333
Helix,Justice,2011,Gaspard Augé,None,3,0,4
"The Magnificent Seven, film score~Theme",Elmer Bernstein,1939,Elmer Bernstein,Classical,1,6,2.7
Discovery,Elmer Bernstein,1963,Elmer Bernstein,Stage,2,1,4.642857143
Too Much of Nothing,"Peter, Paul and Mary",1967,Bob Dylan,Folk,6,11,2.4
Little Bitty,Alan Jackson,1996,Tom T. Hall,Country,11,12,3.728571429
Swinging Doors,Merle Haggard,1966,Merle Haggard,Country,58,30,3.0875
Waist Deep In The Big Muddy,Pete Seeger,1967,Pete Seeger,Folk,14,6,2.681818182
Hello Ev'rybody,Rachel Buchman,1994,Traditional,None,2,0,5
Swinging Doors,Merle Haggard,1966,Merle Haggard,Country,58,30,3.0875
Lovin' in My Baby's Eyes,Taj Mahal,1996,Taj Mahal,Blues,8,12,3.571428571
Hello My Baby,Ladysmith Black Mambazo,1986,Joseph Shabalala,International,8,2,4.166666667
Hello My Baby,Ladysmith Black Mambazo,1986,Joseph Shabalala,International,8,2,4.166666667
Cross Road Blues,Robert Johnson,1936,Robert Johnson,Blues,59,29,3.444444444
Angel Flying Too Close To The Ground,Willie Nelson,1980,Willie Nelson,Vocal,29,29,3.5
"Hello, Adolf",David Cross,2016,David Cross,None,1,0,None
